ID,name,playMethod,playedDay,playedEver,playedWeek,skipped
111, Dayang Dayang (Ilocano Version).wav,1.1,0,1,0,0.0
112, Deadma.wav,1.1,0,1,0,0.0
113, Dear Ana.wav,1.1,0,1,0,0.0
114, Dekada 90.wav,1.1,0,1,0,0.0
115, Deliverance (Acoustic).wav,1.1,0,1,0,0.0
116, Deliverance.wav,1.1,0,1,0,0.0
117, Delubyo.wav,1.1,0,1,0,0.0
118, Di Karapatdapat.wav,1.1,0,1,0,0.0
119, Di Ko Na Mapipigilan.wav,1.1,0,1,0,0.0
120, Di Na Iibig Pa.wav,1.1,0,1,0,0.0
121, Di Na Natuto.wav,1.1,0,1,0,0.0
122, Di Tayo Titigil.wav,1.1,0,1,0,0.0
123, Dim the Headlights.wav,1.1,0,1,0,0.0
124, Dinamayan.wav,1.1,0,1,0,0.0
125, Dinner At 6.wav,1.1,0,1,0,0.0
126, Director's Cut.wav,1.1,0,1,0,0.0
127, Disco Fever.wav,1.1,0,1,0,0.0
128, Disconnected.wav,1.1,0,1,0,0.0
129, Do I Need A Reason.wav,1.1,0,1,0,0.0
130, Do You Know The Feeling.wav,1.1,0,1,0,0.0
131, Doll's Head Master.wav,1.1,0,1,0,0.0
132, Don't  Touch My Birdie.wav,1.1,0,1,0,0.0
133, Don't Cry Out Loud.wav,1.1,0,1,0,0.0
134, Doo Bidoo.wav,1.1,0,1,0,0.0
135, Doon Lang.wav,1.1,0,1,0,0.0
136, Dorothy.wav,1.1,0,1,0,0.0
137, Downside Risk.wav,1.1,0,1,0,0.0
138, Dragonfly.wav,1.1,0,1,0,0.0
139, Dukha (Remix).wav,1.1,0,1,0,0.0
140, Dukha.wav,1.1,0,1,0,0.0
141, DV.wav,1.1,0,1,0,0.0
142, DVD X.wav,1.1,0,1,0,0.0
143, Eager Angels.wav,1.1,0,1,0,0.0
144, Eddie Song.wav,1.1,0,1,0,0.0
145, Elektra.wav,1.1,0,1,0,0.0
146, Elesi.wav,1.1,0,1,0,0.0
147, Endless,1.1,0,1,0,0.0
148, Enemy.wav,1.1,0,1,0,0.0
149, ERT.wav,1.1,0,1,0,0.0
150, Escape The Hurt.wav,1.1,0,1,0,0.0
151, Esem.wav,1.1,0,1,0,0.0
152, Especially for You.wav,1.1,0,1,0,0.0
153, Estella.wav,1.1,0,1,0,0.0
154, Eternal Flame.wav,1.1,0,1,0,0.0
155, Everlasting Love.wav,1.1,0,1,0,0.0
156, Evil Clown.wav,1.1,0,1,0,0.0
157, Ewan Ko.wav,1.1,0,1,0,0.0
158, Ewan.wav,1.1,0,1,0,0.0
159, F.U..wav,1.1,0,1,0,0.0
160, Fall For You (Live).wav,1.1,0,1,0,0.0
161, Fallen Of Deaf Ears.wav,1.1,0,1,0,0.0
162, Fallin.wav,1.1,0,1,0,0.0
163, Falling Inlove with Marilyn.wav,1.1,0,1,0,0.0
164, February.wav,1.1,0,1,0,0.0
165, Fininger.wav,1.1,0,1,0,0.0
166, Firewoman.wav,1.1,0,1,0,0.0
167, First Day Funk.wav,1.1,0,1,0,0.0
168, First Day High.wav,1.1,0,1,0,0.0
169, First Love Never Dies.wav,1.1,0,1,0,0.0
170, First Of Summer.wav,1.1,0,1,0,0.0
171, Fly Me To The Moon.wav,1.1,0,1,0,0.0
172, Focus.wav,1.1,0,1,0,0.0
173, Foolish Heart (Live).wav,1.1,0,1,0,0.0
174, Foolish Heart.wav,1.1,0,1,0,0.0
175, For My Dearly Departed.wav,1.1,0,1,0,0.0
176, For Myself.wav,1.1,0,1,0,0.0
177, For Tonight.wav,1.1,0,1,0,0.0
178, For You.wav,1.1,0,1,0,0.0
179, Forever (ft. Regine Velasquez).wav,1.1,0,1,0,0.0
180, Forever Girl.wav,1.1,0,1,0,0.0
181, Forever is Not As Long As It Used to Be.wav,1.1,0,1,0,0.0
182, Forever More.wav,1.1,0,1,0,0.0
183, Forever's Not Enough.wav,1.1,0,1,0,0.0
184, Forevermore (Live).wav,1.1,0,1,0,0.0
185, Forevermore.wav,1.1,0,1,0,0.0
186, Forget.wav,1.1,0,1,0,0.0
187, Frailty.wav,1.1,0,1,0,0.0
188, Friend of Mine.wav,1.1,0,1,0,0.0
189, From The Start.wav,1.1,0,1,0,0.0
190, Fruit Cake.wav,1.1,0,1,0,0.0
191, Fuck You.wav,1.1,0,1,0,0.0
