@relation 'jAudio_clustered-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-R554-662-weka.filters.unsupervised.attribute.Remove-R51-232-weka.filters.unsupervised.attribute.Remove-R101-282-weka.filters.unsupervised.attribute.Remove-R190-191_clustered'

@attribute Instance_number numeric
@attribute 'Beat Histogram Overall Average7' numeric
@attribute 'Beat Histogram Overall Average6' numeric
@attribute 'Beat Histogram Overall Average26' numeric
@attribute 'Beat Histogram Overall Average25' numeric
@attribute 'Beat Histogram Overall Average54' numeric
@attribute 'Beat Histogram Overall Average23' numeric
@attribute 'Beat Histogram Overall Average2' numeric
@attribute 'Beat Histogram Overall Average28' numeric
@attribute 'Beat Histogram Overall Average0' numeric
@attribute 'Beat Histogram Overall Average12' numeric
@attribute 'Beat Histogram Overall Average10' numeric
@attribute 'Beat Histogram Overall Average29' numeric
@attribute 'Beat Histogram Overall Average13' numeric
@attribute 'Beat Histogram Overall Average8' numeric
@attribute 'Beat Histogram Overall Average39' numeric
@attribute 'Beat Histogram Overall Average16' numeric
@attribute 'Beat Histogram Overall Average18' numeric
@attribute 'Beat Histogram Overall Average1' numeric
@attribute 'Beat Histogram Overall Average11' numeric
@attribute 'Beat Histogram Overall Average27' numeric
@attribute 'Beat Histogram Overall Average19' numeric
@attribute 'Beat Histogram Overall Average17' numeric
@attribute 'Beat Histogram Overall Average158' numeric
@attribute 'Beat Histogram Overall Average66' numeric
@attribute 'Beat Histogram Overall Average9' numeric
@attribute 'Beat Histogram Overall Average159' numeric
@attribute 'Beat Histogram Overall Average72' numeric
@attribute 'Beat Histogram Overall Average4' numeric
@attribute 'Beat Histogram Overall Average44' numeric
@attribute 'Beat Histogram Overall Average30' numeric
@attribute 'Beat Histogram Overall Average38' numeric
@attribute 'Beat Histogram Overall Average65' numeric
@attribute 'Beat Histogram Overall Average36' numeric
@attribute 'Beat Histogram Overall Average67' numeric
@attribute 'Beat Histogram Overall Average15' numeric
@attribute 'Beat Histogram Overall Average93' numeric
@attribute 'Beat Histogram Overall Average64' numeric
@attribute 'Beat Histogram Overall Average46' numeric
@attribute 'Beat Histogram Overall Average20' numeric
@attribute 'Beat Histogram Overall Average160' numeric
@attribute 'Beat Histogram Overall Average85' numeric
@attribute 'Beat Histogram Overall Average168' numeric
@attribute 'Beat Histogram Overall Average83' numeric
@attribute 'Beat Histogram Overall Average5' numeric
@attribute 'Beat Histogram Overall Average43' numeric
@attribute 'Beat Histogram Overall Average169' numeric
@attribute 'Beat Histogram Overall Average73' numeric
@attribute 'Beat Histogram Overall Average63' numeric
@attribute 'Beat Histogram Overall Average48' numeric
@attribute 'Beat Histogram Overall Average45' numeric
@attribute 'Beat Histogram Overall Standard Deviation231' numeric
@attribute 'Beat Histogram Overall Standard Deviation227' numeric
@attribute 'Beat Histogram Overall Standard Deviation226' numeric
@attribute 'Beat Histogram Overall Standard Deviation228' numeric
@attribute 'Beat Histogram Overall Standard Deviation230' numeric
@attribute 'Beat Histogram Overall Standard Deviation229' numeric
@attribute 'Beat Histogram Overall Standard Deviation225' numeric
@attribute 'Beat Histogram Overall Standard Deviation207' numeric
@attribute 'Beat Histogram Overall Standard Deviation217' numeric
@attribute 'Beat Histogram Overall Standard Deviation220' numeric
@attribute 'Beat Histogram Overall Standard Deviation222' numeric
@attribute 'Beat Histogram Overall Standard Deviation221' numeric
@attribute 'Beat Histogram Overall Standard Deviation219' numeric
@attribute 'Beat Histogram Overall Standard Deviation224' numeric
@attribute 'Beat Histogram Overall Standard Deviation206' numeric
@attribute 'Beat Histogram Overall Standard Deviation213' numeric
@attribute 'Beat Histogram Overall Standard Deviation223' numeric
@attribute 'Beat Histogram Overall Standard Deviation218' numeric
@attribute 'Beat Histogram Overall Standard Deviation214' numeric
@attribute 'Beat Histogram Overall Standard Deviation215' numeric
@attribute 'Beat Histogram Overall Standard Deviation209' numeric
@attribute 'Beat Histogram Overall Standard Deviation202' numeric
@attribute 'Beat Histogram Overall Standard Deviation205' numeric
@attribute 'Beat Histogram Overall Standard Deviation204' numeric
@attribute 'Beat Histogram Overall Standard Deviation212' numeric
@attribute 'Beat Histogram Overall Standard Deviation216' numeric
@attribute 'Beat Histogram Overall Standard Deviation210' numeric
@attribute 'Beat Histogram Overall Standard Deviation203' numeric
@attribute 'Beat Histogram Overall Standard Deviation187' numeric
@attribute 'Beat Histogram Overall Standard Deviation211' numeric
@attribute 'Beat Histogram Overall Standard Deviation186' numeric
@attribute 'Beat Histogram Overall Standard Deviation199' numeric
@attribute 'Beat Histogram Overall Standard Deviation208' numeric
@attribute 'Beat Histogram Overall Standard Deviation200' numeric
@attribute 'Beat Histogram Overall Standard Deviation201' numeric
@attribute 'Beat Histogram Overall Standard Deviation189' numeric
@attribute 'Beat Histogram Overall Standard Deviation188' numeric
@attribute 'Beat Histogram Overall Standard Deviation190' numeric
@attribute 'Beat Histogram Overall Standard Deviation198' numeric
@attribute 'Beat Histogram Overall Standard Deviation185' numeric
@attribute 'Beat Histogram Overall Standard Deviation196' numeric
@attribute 'Beat Histogram Overall Standard Deviation197' numeric
@attribute 'Beat Histogram Overall Standard Deviation184' numeric
@attribute 'Beat Histogram Overall Standard Deviation194' numeric
@attribute 'Beat Histogram Overall Standard Deviation183' numeric
@attribute 'Beat Histogram Overall Standard Deviation193' numeric
@attribute 'Beat Histogram Overall Standard Deviation192' numeric
@attribute 'Beat Histogram Overall Standard Deviation195' numeric
@attribute 'Beat Histogram Overall Standard Deviation175' numeric
@attribute 'Beat Histogram Overall Standard Deviation191' numeric
@attribute 'Standard Deviation of Spectral Flux Overall Standard Deviation0' numeric
@attribute 'Running Mean of Spectral Flux Overall Standard Deviation0' numeric
@attribute 'Spectral Flux Overall Average0' numeric
@attribute 'Standard Deviation of Spectral Flux Overall Average0' numeric
@attribute 'Running Mean of Spectral Flux Overall Average0' numeric
@attribute 'Standard Deviation of MFCC Overall Average0' numeric
@attribute 'Running Mean of MFCC Overall Average0' numeric
@attribute 'MFCC Overall Average0' numeric
@attribute 'Spectral Flux Overall Standard Deviation0' numeric
@attribute 'Derivative of Standard Deviation of Spectral Flux Overall Standard Deviation0' numeric
@attribute 'Derivative of Running Mean of Spectral Flux Overall Standard Deviation0' numeric
@attribute 'Derivative of Spectral Flux Overall Standard Deviation0' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation9' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation8' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation12' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation11' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation10' numeric
@attribute 'MFCC Overall Standard Deviation9' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation4' numeric
@attribute 'Derivative of Standard Deviation of Spectral Flux Overall Average0' numeric
@attribute 'MFCC Overall Standard Deviation12' numeric
@attribute 'MFCC Overall Standard Deviation10' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation6' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation7' numeric
@attribute 'MFCC Overall Standard Deviation11' numeric
@attribute 'Running Mean of MFCC Overall Average6' numeric
@attribute 'MFCC Overall Standard Deviation6' numeric
@attribute 'MFCC Overall Average6' numeric
@attribute 'MFCC Overall Standard Deviation7' numeric
@attribute 'MFCC Overall Standard Deviation8' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation5' numeric
@attribute 'Running Mean of Compactness Overall Average0' numeric
@attribute 'Standard Deviation of Compactness Overall Average0' numeric
@attribute 'Compactness Overall Average0' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation1' numeric
@attribute 'MFCC Overall Standard Deviation4' numeric
@attribute 'MFCC Overall Standard Deviation5' numeric
@attribute 'MFCC Overall Average3' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation2' numeric
@attribute 'Derivative of Running Mean of Zero Crossings Overall Standard Deviation0' numeric
@attribute 'Derivative of Standard Deviation of Zero Crossings Overall Standard Deviation0' numeric
@attribute 'Running Mean of MFCC Overall Average3' numeric
@attribute 'Running Mean of MFCC Overall Standard Deviation11' numeric
@attribute 'Running Mean of MFCC Overall Standard Deviation10' numeric
@attribute 'Running Mean of MFCC Overall Standard Deviation12' numeric
@attribute 'MFCC Overall Average1' numeric
@attribute 'Running Mean of MFCC Overall Average1' numeric
@attribute 'Running Mean of MFCC Overall Standard Deviation9' numeric
@attribute 'Zero Crossings Overall Standard Deviation0' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation1' numeric
@attribute 'MFCC Overall Standard Deviation1' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation3' numeric
@attribute 'Derivative of Running Mean of Spectral Flux Overall Average0' numeric
@attribute 'Running Mean of MFCC Overall Standard Deviation8' numeric
@attribute 'MFCC Overall Standard Deviation2' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation2' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation6' numeric
@attribute 'Running Mean of MFCC Overall Average8' numeric
@attribute 'Running Mean of MFCC Overall Average2' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Standard Deviation0' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation4' numeric
@attribute 'MFCC Overall Average8' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation0' numeric
@attribute 'MFCC Overall Average2' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation12' numeric
@attribute 'Derivative of Zero Crossings Overall Standard Deviation0' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation10' numeric
@attribute 'Running Mean of MFCC Overall Standard Deviation6' numeric
@attribute 'Running Mean of MFCC Overall Standard Deviation7' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation9' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation8' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation7' numeric
@attribute 'Derivative of MFCC Overall Average12' numeric
@attribute 'Derivative of Spectral Flux Overall Average0' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Average3' numeric
@attribute 'Standard Deviation of MFCC Overall Average9' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Standard Deviation9' numeric
@attribute 'Standard Deviation of MFCC Overall Average10' numeric
@attribute 'Standard Deviation of MFCC Overall Standard Deviation10' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Standard Deviation10' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Standard Deviation4' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Average12' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Standard Deviation12' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Standard Deviation7' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Average7' numeric
@attribute 'Standard Deviation of MFCC Overall Average12' numeric
@attribute 'Standard Deviation of MFCC Overall Standard Deviation12' numeric
@attribute 'Standard Deviation of MFCC Overall Average7' numeric
@attribute 'Standard Deviation of MFCC Overall Standard Deviation7' numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
0,1.102,1.103,0.9855,1.005,0.8461,1.058,1.155,0.9632,1.212,1.093,1.115,0.9599,1.075,1.105,0.9053,1.045,1.047,1.183,1.109,0.9717,1.058,1.043,0.347,0.8095,1.112,0.3424,0.7346,1.118,0.9325,0.9612,0.9092,0.8008,0.9282,0.8115,1.05,0.6382,0.7921,0.9119,1.073,0.3343,0.6619,0.2865,0.6708,1.109,0.9277,0.2841,0.7249,0.7879,0.8711,0.9275,0.005932,0.02906,0.03375,0.02392,0.012,0.01811,0.03799,0.1232,0.07661,0.06091,0.05106,0.05594,0.06636,0.04215,0.1295,0.09465,0.04649,0.07159,0.09059,0.0864,0.1118,0.1457,0.1347,0.139,0.09867,0.08169,0.1071,0.1422,0.2172,0.1027,0.2231,0.158,0.1171,0.1532,0.1491,0.2081,0.2122,0.2036,0.1631,0.2296,0.1745,0.1686,0.2369,0.1862,0.2446,0.1915,0.1959,0.1804,0.2734,0.1999,0.002902,0.000294,0.000305,0.003043,0.000309,1384,-138.4,-140.1,0.000758,0.000098,0.00001,0.000756,0.0285,0.03091,0.02401,0.02422,0.0268,2.016,0.04694,0,1.695,1.902,0.02996,0.04194,1.753,-0.424,2.093,-0.4216,3.034,2.228,0.03304,1722,17210,1719,0.0867,3.324,2.324,3.894,0.06595,0.5902,5.872,3.947,0.676,0.6264,0.6806,10.61,10.79,0.7606,56.83,3.208,6.313,0.04551,0,1.1,4.715,2.546,1.671,-0.4252,2.253,3.492,2.111,-0.4264,0.3493,2.251,1.372,18.17,1.495,0.7478,1.279,1.498,1.622,1.749,0.000011,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster2
1,4.462,4.486,4.351,4.393,3.52,4.33,4.718,4.2,4.821,4.496,4.405,4.146,4.525,4.432,3.9,4.365,4.347,4.807,4.438,4.273,4.345,4.346,1.461,3.305,4.408,1.46,3.278,4.542,3.708,4.108,3.986,3.325,3.98,3.304,4.411,2.751,3.372,3.657,4.338,1.458,2.947,1.3,2.967,4.501,3.73,1.285,3.316,3.436,3.689,3.679,0.01215,0.05273,0.06284,0.04285,0.02284,0.03298,0.07269,0.1741,0.1278,0.1114,0.09786,0.1048,0.1172,0.08195,0.1783,0.1474,0.09016,0.1227,0.1428,0.1374,0.1661,0.1984,0.1822,0.1865,0.1519,0.1325,0.1618,0.1918,0.2721,0.1565,0.2764,0.218,0.1702,0.2116,0.2053,0.2667,0.2692,0.2627,0.2239,0.2818,0.2337,0.2291,0.286,0.2447,0.2912,0.2492,0.2533,0.2388,0.333,0.258,0.00373,0.000376,0.001537,0.0154,0.001552,1091,-109.1,-110.8,0.002049,0.000262,0.000027,0.002092,0.02436,0.02281,0.02346,0.02341,0.02186,1.87,0.03255,0,1.846,1.595,0.02453,0.02794,1.809,-0.1759,1.959,-0.1926,2.119,1.694,0.02761,1600,16000,1600,0.07148,2.777,2.204,-0.4544,0.05018,0.4484,4.453,-0.4051,0.7595,0.5348,0.849,7.36,7.59,0.784,38.53,3.652,5.999,0.04386,0,0.3865,4.308,2.916,1.758,0.2516,0.8121,2.565,2.137,0.2519,0.2567,0.8604,1.474,22.38,1.588,0.66,0.7425,1.625,1.663,1.796,-0.00004,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster2
2,1.657,1.711,1.484,1.489,1.276,1.517,1.666,1.476,1.683,1.589,1.598,1.466,1.581,1.626,1.385,1.557,1.566,1.671,1.593,1.48,1.592,1.559,0.5331,1.205,1.609,0.5267,1.148,1.69,1.35,1.452,1.396,1.242,1.446,1.186,1.562,1.071,1.271,1.341,1.616,0.5187,1.059,0.4748,1.068,1.729,1.36,0.4587,1.14,1.251,1.355,1.342,0.005261,0.02315,0.02796,0.01852,0.009706,0.014,0.03163,0.09867,0.06174,0.0497,0.04146,0.04537,0.05387,0.03447,0.1018,0.07836,0.03783,0.05779,0.07397,0.06952,0.093,0.116,0.1054,0.1093,0.08393,0.06558,0.09178,0.1129,0.1687,0.0903,0.1715,0.1259,0.09572,0.122,0.1188,0.1619,0.1656,0.1581,0.1302,0.1752,0.1406,0.1357,0.1794,0.1441,0.1855,0.1469,0.1499,0.142,0.2114,0.1536,0.003312,0.000335,0.000619,0.006117,0.00062,1258,-125.8,-126.9,0.001185,0.000163,0.000017,0.001272,0.02534,0.02426,0.02253,0.02355,0.02279,1.777,0.03203,-0.000001,1.604,1.643,0.02676,0.02678,1.638,-0.09792,1.913,-0.1127,1.907,1.702,0.0292,1592,15920,1592,0.07291,2.362,2.056,1.405,0.04894,0.4332,4.296,1.448,0.5214,0.5715,0.576,9.53,9.684,0.6776,29.93,3.529,5.829,0.03881,0,0.5686,3.633,2.37,1.731,-0.5305,6,2.483,2.004,-0.5275,0.2484,6.002,1.445,20.3,1.55,0.6584,0.5956,1.556,1.606,1.695,0.000043,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster2
3,3.706,3.853,3.186,3.209,2.743,3.3,3.682,3.161,3.635,3.413,3.474,3.165,3.394,3.593,3.017,3.402,3.51,3.653,3.432,3.173,3.597,3.438,1.132,2.65,3.527,1.115,2.464,3.863,2.921,3.181,3.067,2.742,3.233,2.594,3.386,2.385,2.853,2.956,3.6,1.104,2.27,1.001,2.303,3.959,2.922,0.973,2.464,2.911,3.083,2.931,0.008802,0.03652,0.04375,0.02925,0.01624,0.02276,0.05021,0.1377,0.08913,0.07098,0.06281,0.06631,0.0764,0.0558,0.1426,0.1115,0.05986,0.08241,0.1065,0.1014,0.1297,0.1639,0.1474,0.1525,0.1164,0.09575,0.1257,0.1583,0.2314,0.1212,0.236,0.1756,0.1335,0.1724,0.1686,0.2186,0.2249,0.2134,0.1794,0.24,0.185,0.1828,0.2431,0.1901,0.2462,0.1958,0.2025,0.1873,0.2815,0.2087,0.002745,0.000274,0.001124,0.01111,0.001124,1112,-111.2,-111.7,0.001725,0.000235,0.000024,0.00207,0.02672,0.02654,0.02299,0.02238,0.02648,1.885,0.03718,0.000001,1.855,1.858,0.02658,0.03115,1.698,-0.4049,2.008,-0.3986,2.31,1.854,0.03034,1649,16490,1649,0.06967,2.776,2.252,0.5563,0.05342,0.4072,4.039,0.5685,0.8771,0.7361,1.108,6.825,6.873,0.8264,32.84,2.946,5.436,0.03958,0,0.6487,4.023,2.234,1.678,-0.7312,3.72,1.859,1.957,-0.7282,0.1861,3.731,1.39,17.07,1.553,0.9764,1.12,1.575,1.662,1.7,0.000081,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster2
4,1.461,1.478,1.276,1.283,1.1,1.3,1.491,1.265,1.491,1.391,1.413,1.26,1.383,1.442,1.185,1.367,1.37,1.49,1.4,1.272,1.366,1.369,0.4393,1.01,1.428,0.4347,0.9766,1.494,1.157,1.257,1.193,1.02,1.217,1.002,1.368,0.8716,1.03,1.165,1.352,0.431,0.9099,0.3812,0.9204,1.491,1.159,0.3744,0.9742,1.042,1.171,1.159,0.005721,0.02533,0.02995,0.02075,0.01095,0.01594,0.03443,0.1182,0.07136,0.05719,0.04803,0.05266,0.0618,0.03902,0.122,0.09021,0.04355,0.06668,0.08572,0.081,0.1086,0.1338,0.1255,0.1292,0.09466,0.07619,0.104,0.1316,0.1743,0.09922,0.1777,0.1431,0.1137,0.1399,0.1367,0.1693,0.1715,0.1666,0.1462,0.1816,0.1518,0.1492,0.1845,0.1573,0.1876,0.1603,0.1627,0.1546,0.2133,0.1647,0.002274,0.000228,0.000341,0.003399,0.000347,1530,-153,-156.1,0.000751,0.000097,0.00001,0.000825,0.02799,0.03273,0.02568,0.03,0.02462,1.939,0.04201,0,1.815,1.776,0.0336,0.03283,2.201,-1.216,2.328,-1.234,2.445,2.185,0.02901,1701,17010,1700,0.1142,3.024,2.121,6.278,0.05848,0.4972,4.878,6.485,1.091,0.6515,0.8408,14.1,14.6,0.7745,35.81,3.608,8.701,0.04737,0,0.9417,4.119,2.228,1.605,-0.7351,6.273,4.048,1.945,-0.7158,0.405,6.309,1.293,20.75,1.401,1.043,1.156,1.456,1.46,1.583,-0.000126,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster2
5,2.403,2.397,2.169,2.184,1.908,2.238,2.439,2.148,2.505,2.338,2.422,2.15,2.316,2.422,2.035,2.287,2.299,2.464,2.375,2.157,2.327,2.288,0.7802,1.798,2.443,0.7686,1.678,2.41,2.025,2.163,2.038,1.832,2.059,1.766,2.293,1.454,1.847,1.961,2.362,0.7575,1.575,0.6678,1.562,2.4,2.067,0.6565,1.677,1.828,1.924,1.989,0.007159,0.02756,0.03138,0.02369,0.01369,0.01926,0.0355,0.113,0.07244,0.05927,0.0491,0.0538,0.06489,0.04004,0.1157,0.08493,0.04456,0.06949,0.08116,0.07779,0.1031,0.129,0.1182,0.1214,0.08891,0.07512,0.09779,0.1248,0.1936,0.09303,0.2012,0.1439,0.109,0.1381,0.1335,0.1816,0.1869,0.1766,0.151,0.2062,0.1623,0.1578,0.2074,0.1648,0.2085,0.166,0.1687,0.1644,0.2509,0.1722,0.004248,0.000431,0.000915,0.009066,0.000922,1124,-112.4,-113.6,0.001843,0.000235,0.000024,0.001893,0.02113,0.02165,0.02177,0.02064,0.02183,1.564,0.03767,0,1.541,1.57,0.03001,0.02403,1.5,0.3549,2.296,0.3386,1.775,1.589,0.02728,1628,16280,1627,0.05921,2.716,1.956,1.662,0.0466,0.4715,4.706,1.709,0.5786,0.6169,0.6569,6.876,6.997,0.6535,49.36,2.436,5.322,0.03379,0,0.6224,3.77,2.265,1.704,-0.09777,-0.5803,2.17,1.935,-0.09505,0.2172,-0.5216,1.431,14.02,1.479,1.333,0.7442,1.476,1.549,1.634,-0.00017,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster2
6,10.08,10.16,9.138,9.189,7.862,9.306,10.27,9.061,10.38,9.784,9.875,9.014,9.754,9.997,8.539,9.595,9.508,10.31,9.825,9.096,9.482,9.55,3.236,7.376,9.93,3.19,7.077,10.2,8.325,8.953,8.595,7.404,8.722,7.328,9.649,6.163,7.429,8.206,9.48,3.145,6.491,2.795,6.595,10.19,8.371,2.756,7.04,7.461,8.121,8.263,0.02999,0.1388,0.1654,0.1122,0.05804,0.08541,0.192,0.6552,0.4014,0.3239,0.2713,0.2977,0.3497,0.2185,0.6807,0.5029,0.2449,0.3756,0.4772,0.4526,0.6048,0.78,0.7058,0.7305,0.5285,0.4274,0.5793,0.7548,1.156,0.5541,1.181,0.8548,0.6298,0.8304,0.8052,1.105,1.131,1.08,0.8794,1.205,0.9291,0.9047,1.23,0.9793,1.256,1.004,1.029,0.9541,1.461,1.055,0.01326,0.00133,0.00235,0.0234,0.002365,983,-98.31,-99.2,0.003752,0.000501,0.000051,0.003718,0.02352,0.02319,0.02095,0.02203,0.02141,1.709,0.03012,0,1.587,1.529,0.02393,0.02686,1.597,1.039,1.82,1.027,2.031,1.654,0.02593,1685,16840,1685,0.0505,2.383,1.978,1.436,0.04463,0.3861,3.83,1.438,0.7008,0.6539,0.6798,8.02,8.033,0.8098,31.21,2.267,4.955,0.03575,0,0.676,3.746,2.12,1.547,-0.2288,0.5163,2.193,1.785,-0.2325,0.2195,0.5316,1.317,15.47,1.35,0.8705,1.027,1.38,1.449,1.519,0.000116,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster3
7,1.83,1.827,1.653,1.674,1.481,1.793,1.876,1.628,1.991,1.82,1.927,1.624,1.773,1.853,1.55,1.733,1.729,1.917,1.894,1.639,1.753,1.726,0.6179,1.421,1.894,0.6064,1.284,1.846,1.615,1.633,1.559,1.397,1.591,1.427,1.743,1.141,1.375,1.561,1.8,0.5962,1.181,0.5244,1.199,1.836,1.598,0.5164,1.271,1.364,1.488,1.601,0.007851,0.03465,0.04104,0.02824,0.01495,0.0217,0.04754,0.1547,0.09571,0.07782,0.06699,0.07264,0.08332,0.05424,0.1619,0.1217,0.06083,0.08932,0.1148,0.1084,0.144,0.1915,0.1692,0.1762,0.1289,0.1021,0.1399,0.1835,0.2839,0.1351,0.2862,0.2128,0.1485,0.2078,0.2003,0.2748,0.2806,0.2662,0.2159,0.2907,0.2233,0.2188,0.2977,0.2364,0.3051,0.2429,0.2496,0.2298,0.3556,0.2572,0.004463,0.000448,0.000776,0.007747,0.000784,1226,-122.6,-124.4,0.001332,0.000177,0.000018,0.00137,0.02206,0.02219,0.02016,0.02045,0.02143,1.606,0.03914,0,1.443,1.592,0.02578,0.02328,1.49,0.008432,1.977,-0.003774,1.671,1.614,0.02828,1630,16300,1630,0.06687,2.957,2.16,0.9434,0.05002,0.5703,5.682,0.98,0.5769,0.6079,0.4909,6.224,6.364,0.5942,61.66,2.66,6.48,0.0442,0,0.6107,4.61,2.447,1.78,-0.6818,0.1283,2.65,2.132,-0.6763,0.2651,0.2118,1.475,18.94,1.525,0.9186,0.4138,1.543,1.585,1.717,0.000007,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster2
8,7.382,7.45,6.727,6.761,5.77,6.839,7.518,6.689,7.622,7.199,7.248,6.651,7.187,7.318,6.299,7.035,6.965,7.561,7.216,6.706,6.944,6.997,2.407,5.42,7.276,2.366,5.194,7.449,6.159,6.597,6.358,5.435,6.499,5.371,7.088,4.513,5.448,6.063,6.945,2.331,4.768,2.072,4.845,7.446,6.184,2.041,5.177,5.474,5.995,6.108,0.01954,0.08422,0.1,0.06841,0.03654,0.05257,0.1158,0.3923,0.2432,0.1955,0.1641,0.1799,0.2111,0.1319,0.4063,0.3029,0.1483,0.2267,0.2883,0.274,0.3633,0.4634,0.42,0.4343,0.3177,0.2589,0.348,0.4485,0.6852,0.3328,0.6995,0.5075,0.3783,0.4932,0.4782,0.6548,0.6701,0.6397,0.522,0.7141,0.5524,0.5367,0.7281,0.5832,0.7416,0.5978,0.6108,0.5679,0.8589,0.6252,0.01058,0.00106,0.002212,0.02203,0.002219,989.5,-98.95,-99.25,0.002911,0.000398,0.00004,0.002898,0.0313,0.02641,0.03834,0.02965,0.03613,2.247,0.03254,0,2.454,2.442,0.03159,0.03167,2.218,0.871,2.513,0.8619,2.205,1.991,0.03057,1652,16520,1651,0.05606,2.592,2.346,0.8379,0.04793,0.3889,3.868,0.8272,1.434,1.447,1.534,2.724,2.72,1.438,29.82,2.946,6.318,0.03483,0,1.035,5.023,2.419,1.783,-1.16,1.703,1.972,2.018,-1.15,0.1973,1.719,1.429,18.51,1.577,1.654,1.219,1.6,1.664,1.7,-0.000047,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster1
9,10.96,11.7,10.53,10.66,11.21,9.685,10.68,9.382,11.4,11.26,10.47,9.317,11.88,10.4,9.593,13.9,11.62,10.97,10.82,9.84,10.9,12.76,3.535,7.997,10.3,3.378,8.236,11.03,9.1,9.466,10.08,8.446,11.69,7.481,13.95,8.072,8.236,9.165,10.37,3.262,7.5,2.957,7.079,11.68,8.618,3.018,8.734,7.801,8.292,9.505,0.05681,0.1536,0.1645,0.1387,0.09665,0.1217,0.1751,0.3491,0.2774,0.2479,0.2228,0.236,0.2578,0.1911,0.3544,0.4075,0.2089,0.2658,0.379,0.3388,0.3456,0.3863,0.3673,0.3861,0.3954,0.3031,0.3552,0.3938,0.5072,0.3735,0.5149,0.4479,0.3463,0.4156,0.3904,0.5203,0.5093,0.5418,0.4712,0.534,0.5178,0.4898,0.5631,0.609,0.574,0.6272,0.6027,0.5608,0.821,0.5702,0.009775,0.000976,0.006257,0.0619,0.006269,1259,-125.9,-126.3,0.009869,0.001202,0.000121,0.01014,0.0256,0.02832,0.01896,0.02178,0.02277,1.786,0.04851,0,1.388,1.684,0.02921,0.02717,1.516,1.009,2.146,1.006,1.879,1.929,0.03614,1530,15300,1529,0.1424,3.481,2.471,0.3732,0.08587,0.6021,6.002,0.3504,0.2896,0.3472,0.328,0.5473,0.5599,0.4701,41.8,6.116,9.535,0.06275,0,0.298,5.459,4.175,2.23,-0.04664,4.277,4.984,2.93,-0.05017,0.4987,4.295,1.557,37.74,1.943,0.486,0.3393,2.023,2.05,2.055,-0.000226,0,?,?,?,?,?,?,?,-0.000101,0.1914,?,?,9.421,3.295,?,?,cluster3
